domain,value_head,shared_stage1_source_seed,shared_seed_provenance,selected_anchor,primary_stage1_mcts,primary_stage2_mcts,completed_selected_anchor_stage2_seeds,distinct_stage1_sources_for_those_seeds,displayed_end_to_end_replicates,additional_seed_count,additional_stage1_jobs,additional_stage2_jobs,additional_selected_policy_jobs,additional_primary_mcts_jobs,additional_curve_tasks,notable_existing_work,status
Block Grouping,off,unknown,parent stage-1 record absent,30,"est=0.5;puct=1;width=5;iterations=3","est=0.5;puct=0.1;width=5;iterations=20","42;2026",1,1,10,10,10,20,20,210,historical selected-anchor sweep complete,planned
Block Grouping,on,42,explicit in stage-1 log,1,"est=0.5;puct=0.1;width=5;iterations=20","est=0.5;puct=0.1;width=5;iterations=20","42;2026",1,1,10,10,10,20,20,210,historical selected-anchor sweep complete,planned
Drone,off,None,time-generated or unrecorded,0.03,"est=0.5;puct=0.1;width=20;iterations=70","est=0.5;puct=0.1;width=20;iterations=70","42;2026",1,1,10,10,10,20,20,210,historical selected-anchor sweep complete,planned
Drone,on,42,explicit in stage-1 log,3,"est=0.5;puct=0.1;width=20;iterations=70","est=0.5;puct=0.1;width=20;iterations=70","42;2026",1,1,10,10,10,20,20,210,historical selected-anchor sweep complete,planned
FO Counters,off,None,time-generated or unrecorded,30,"est=0.5;puct=0.1;width=20;iterations=70","est=0.5;puct=0.1;width=20;iterations=70","42;2026",1,1,10,10,10,20,20,210,historical selected-anchor sweep complete,planned
FO Counters,on,42,explicit in stage-1 log,10,"est=0.5;puct=0.1;width=20;iterations=70","est=0.5;puct=0.1;width=20;iterations=70","42;2026",1,1,10,10,10,20,20,210,historical selected-anchor sweep complete,planned
Rover,off,None,time-generated or unrecorded,0,"est=0.5;puct=0.1;width=20;iterations=70","est=0.5;puct=0.1;width=20;iterations=70","42;2026",1,1,10,10,10,20,20,210,"corrected stage-1 seed 2027 and eight corrected stage-2 grid configurations complete; final RQ2 MCTS still running",planned
Rover,on,42,explicit in displayed stage-1 lineage,30,"est=0.5;puct=0.1;width=20;iterations=70","est=0.5;puct=0.1;width=20;iterations=200","42;2026",1,1,10,10,10,20,20,210,"corrected stage-1 seed 2027 and eight corrected stage-2 grid configurations complete; policy and RQ4 MCTS complete",planned
Counters,off,None,time-generated or unrecorded,1,"est=0.5;puct=0.1;width=20;iterations=70","est=0.5;puct=0.1;width=20;iterations=70;secondary width=5","42;2026",1,1,10,10,10,20,20,210,"ten older stage-1 seeds exist under a different historical protocol; excluded from matched confirmatory count",planned
Counters,on,None,time-generated or unrecorded,30,"est=0.5;puct=0.1;width=20;iterations=70","est=0.5;puct=0.1;width=20;iterations=70","42;2026",1,1,10,10,10,20,20,210,"ten older stage-1 seeds exist under a different historical protocol; excluded from matched confirmatory count",planned
