artifact,role,authoritative_source,contains_direct_job_or_log_provenance,target_repository_path,publication_state
RQ-separated primary statistics,Primary advisor/thesis result table,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv,yes: row_level_provenance points to seed ledgers with job IDs and logs,results/rq_primary_validation_led.csv,ready_locally
Terminal-led archive index,Explains what was retired without deleting evidence,experiment_tracking/advisor_followup_20260910/terminal_led_archive_index.csv,yes: source points to terminal seed ledgers,results/archive/terminal_led_archive_index.csv,ready_locally
Generator comparison,Documents possible generator bias and external mappings,experiment_tracking/advisor_followup_20260910/generator_comparison.csv,source-code URLs and local generator paths,methods/generator_comparison.csv,ready_locally
Counters failure evidence,Existing trajectory-level diagnosis,experiment_tracking/mcts_counters_width_sensitivity/stage2_policy_only_trajectory_audit.csv,yes: policy logs and MCTS completion ledgers,results/counters/stage2_policy_only_trajectory_audit.csv,ready_locally
Counters global failure join,All ten validation-led Stage2 seeds in both VH modes,experiment_tracking/advisor_followup_20260910/counters_policy_mcts_failure_global.csv,yes: every row contains policy job/log and MCTS job/ledger,results/counters/counters_policy_mcts_failure_global.csv,ready_locally
Counters trace parser,Recreates 30m/2h/6h visit-distribution summaries,scripts/summarize_mcts_visit_distribution.py,input logs remain explicit in every output row,code/summarize_mcts_visit_distribution.py,ready_locally
Counters visit-audit manifest,Predeclares the minimal two-job diagnostic,experiment_tracking/advisor_followup_20260910/counters_visit_audit_manifest.csv,yes: exact checkpoints instances historical logs and completion ledger,methods/counters_visit_audit_manifest.csv,ready_locally
RQ figures,Presentation figures generated solely from the primary CSV,experiment_tracking/advisor_followup_20260910/rq1_stage2_training_vh_off.svg;experiment_tracking/advisor_followup_20260910/rq2_mcts_vh_off.svg;experiment_tracking/advisor_followup_20260910/rq3_value_head_training.svg;experiment_tracking/advisor_followup_20260910/rq4_value_head_mcts.svg,companion CSV supplies provenance,figures/,ready_locally
Prepared implementation,Exact code revision used to build artifacts,scripts/build_advisor_followup_20260910.py;asnets/asnets/spawn_train_worker.py;experiment_tracking/experiment_registry.csv,Git commit hash will be added at publication,code/,awaiting_commit
Paper-to-thesis change inventory,Exact training inference and reporting changes with rationale,experiment_tracking/advisor_followup_20260910/paper_to_thesis_change_inventory.csv,each evidence cell names code or result sources,methods/paper_to_thesis_change_inventory.csv,ready_locally
External-generator screen results,Per-seed original-test and external-distribution policy scores,experiment_tracking/advisor_followup_20260910/yarin_external_results_latest.csv,source and external Slurm job IDs plus both log paths,results/advisor_followup_20260910/yarin_external_results_latest.csv,live_partial
